"behav";"Bouts";"seconds";"ID";"animal_ID";"gender";"treatment";"genotype";"date";"test.cage";"real.time.start";"dark.start";"project.name"
"Drink Spout3";0;0;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Eat Zone1";542;646.04;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Eat Zone2";0;0;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Eat Zone3";0;0;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Forage";1151;339.24;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Groom";120;3082.6;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Hang Cuddled";283;83;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Hang Vertically";0;0;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Hang Vertically From HangCuddled";203;58.84;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Hang Vertically From Rear Up";438;116.04;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Jump";78;32.6;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Land Vertically";354;95.28;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"No Data";194;17650.4;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Pause";176;1481.12;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Rear Up";145;38.76;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Rear up From Partially Reared";641;165.52;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Rear up To Partially Reared";1637;468.36;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Remain Hang Cuddled";191;182.2;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Remain Hang Vertically";697;1080.44;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Remain Low";7027;8755.68;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Remain Partially Reared";1075;799.92;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
"Remain RearUp";610;495.16;"104";"27";"M";"old";"test";"06.07.2016";"2";10:24:00;18:00:00;"Tarabykin"
